task,k,condition_a,condition_b,b_match,idlekv,random_k,oldest_k,oracle_k,selection_lift,oracle_lift,pct_idlekv_gt_b_match,pct_idlekv_lt_b_match,select_transfer_inject_ms,condition_a_lo,condition_a_hi,condition_b_lo,condition_b_hi,b_match_lo,b_match_hi,idlekv_lo,idlekv_hi,random_k_lo,random_k_hi,oldest_k_lo,oldest_k_hi,oracle_k_lo,oracle_k_hi
mq_niah_6q_split_156_to_234,8,1.0,0.58666692,0.58000025,0.60666692,0.58666692,0.60333359,0.66333365,0.026667,0.083333,0.07,0.02,17.186223,1.0,1.0,0.5466668999999992,0.6233336099999988,0.5366668899999992,0.6200002902499988,0.5700002399999992,0.6400002902499987,0.5466668897499993,0.6233336099999989,0.5633335697499992,0.6366669399999988,0.653333619999999,0.6733336599999988
mq_niah_6q_split_156_to_234,16,1.0,0.58666692,0.59666692,0.62000023,0.5833335900000001,0.58666691,0.67666699,0.023333,0.08,0.1,0.03,15.420274,1.0,1.0,0.5466668899999991,0.6266669402499988,0.560000249749999,0.6300002799999987,0.5766668797499991,0.6600002504999992,0.5400002297499992,0.623333600249999,0.5466668599999993,0.6233335999999989,0.6666669999999988,0.690000309999999
mq_niah_6q_split_156_to_234,24,1.0,0.58666692,0.58333358,0.72000021,0.57666691,0.58333358,0.97333336,0.136667,0.39,0.34,0.01,18.828087,1.0,1.0,0.5466668799999994,0.6233336199999987,0.5400001999999993,0.6233336099999988,0.6765835382499993,0.76000017025,0.5333335599999992,0.6166669499999987,0.5400002197499991,0.6233336199999987,0.9533333800000001,0.9900000100000002
mq_niah_6q_split_156_to_234,32,1.0,0.58666692,0.57666692,0.8000001299999999,0.5800002400000001,0.58666691,0.9966666700000001,0.223333,0.42,0.58,0.02,14.975666,1.0,1.0,0.5465835477499995,0.6233336299999988,0.5300002197499992,0.6167502922499987,0.7500001500000001,0.8466667702500001,0.5366668897499993,0.6166669299999988,0.5500002097499992,0.6233335999999988,0.9900000099999999,1.0
mq_niah_6q_split_156_to_234,48,1.0,0.58666692,0.58666692,0.87333343,0.59333359,0.57333357,0.9966666700000001,0.286667,0.41,0.73,0.01,17.041653,1.0,1.0,0.543333589749999,0.6233336199999987,0.5466668799999992,0.6266669299999988,0.8333334499999999,0.9100000800000001,0.5532502077499991,0.6300002899999987,0.5300001899999994,0.6133335999999988,0.9900000099999999,1.0
mq_niah_6q_split_156_to_234,64,1.0,0.58666692,0.6033336,0.97666669,0.58000025,0.5766669,0.9966666700000001,0.373333,0.393333,0.94,0.0,15.225467,1.0,1.0,0.5465835574999993,0.6233336199999988,0.563333589749999,0.6366669699999987,0.9566667100000003,0.9900000100000002,0.5366668899999995,0.6166669399999988,0.5300002399999993,0.6133336099999988,0.98991667675,1.0
mq_niah_6q_split_156_to_234,80,1.0,0.58666692,0.59333359,0.9966666700000001,0.5833335900000001,0.5666669,0.9966666700000001,0.403333,0.403333,0.98,0.0,17.674347,1.0,1.0,0.5433335499999993,0.6266669399999989,0.550000239999999,0.6300002699999987,0.9900000099999999,1.0,0.5400002499999992,0.6233336202499989,0.5200002197499993,0.610000260249999,0.9900000099999999,1.0
mq_niah_6q_split_156_to_234,96,1.0,0.58666692,0.59333359,0.9966666700000001,0.60000025,0.57333357,0.9966666700000001,0.403333,0.403333,0.98,0.0,15.287862,1.0,1.0,0.5433335699999993,0.6266669699999987,0.5533335599999992,0.6300002699999989,0.9900000099999999,1.0,0.5600002492499989,0.6366669399999987,0.5266668799999994,0.6100836217499988,0.9900000099999999,1.0
mq_niah_6q_split_156_to_234,128,1.0,0.58666692,0.57666692,0.9966666700000001,0.5900002599999999,0.5766669,0.9966666700000001,0.42,0.42,0.98,0.0,18.846337,1.0,1.0,0.5400002299999992,0.6234169624999987,0.5333335599999992,0.6134169624999987,0.9900000099999999,1.0,0.5533335699999992,0.6266669599999988,0.5333335299999994,0.6166669199999989,0.9900000099999999,1.0
mq_niah_6q_split_256_to_134,8,0.96333337,0.5866669,0.5866668899999999,0.60666689,0.5866669,0.5966669,0.66666697,0.02,0.08,0.07,0.03,18.434933,0.9400000600000001,0.9800000200000002,0.5466668594999992,0.6233336102499989,0.5466668599999992,0.6266669199999988,0.5766668499999994,0.6334169519999986,0.5466668499999993,0.6233335799999989,0.5566668894999993,0.633333570249999,0.6500002997499986,0.6833336399999991
mq_niah_6q_split_256_to_134,16,0.96333337,0.5866669,0.5866668899999999,0.62000023,0.59000023,0.58333355,0.74333359,0.033333,0.156667,0.09,0.02,15.39815,0.9400000600000001,0.9833333499999999,0.5466668897499992,0.6233336002499987,0.5466668697499993,0.6233335999999988,0.5866668497499995,0.6533335799999987,0.5533335399999992,0.6266669102499989,0.5433335399999992,0.6200002399999991,0.7200002799999992,0.7733335599999995
mq_niah_6q_split_256_to_134,24,0.96333337,0.5866669,0.58333355,0.65666687,0.59000023,0.5800002200000001,0.9900000099999999,0.073333,0.406666,0.21,0.02,15.124241,0.9433333899999999,0.9833333499999999,0.5466668699999992,0.623333590249999,0.5400001799999994,0.6167502719999988,0.6200001997499991,0.6933335702499991,0.550000229499999,0.6266669199999989,0.5366668499999995,0.620000259999999,0.97666669,1.0
mq_niah_6q_split_256_to_134,32,0.96333337,0.5866669,0.59333356,0.68666686,0.59333356,0.57333355,0.9966666700000001,0.093333,0.403333,0.25,0.02,15.016149,0.9400000600000001,0.9833333499999999,0.5466668797499993,0.6234169617499987,0.5566668597499991,0.6300002599999989,0.6500001497499996,0.7233335099999993,0.5533335394999991,0.6300002502499987,0.5300001797499991,0.613333559999999,0.9900000099999999,1.0
mq_niah_6q_split_256_to_134,48,0.96333337,0.5866669,0.59000022,0.75333351,0.5866668899999999,0.57666688,0.9966666700000001,0.163333,0.406666,0.42,0.0,15.149617,0.9400000600000001,0.9800000200000001,0.5466668497499992,0.6200002799999988,0.5500001999999992,0.6266669199999988,0.7166668892499998,0.7900001799999997,0.5466668699999994,0.6200002702499988,0.5366668399999996,0.616666910249999,0.9900000099999999,1.0
mq_niah_6q_split_256_to_134,64,0.96333337,0.5866669,0.5866668899999999,0.8466668199999999,0.5766668899999999,0.57000021,0.9966666700000001,0.26,0.41,0.63,0.0,15.222438,0.9433333899999998,0.9833333500000001,0.5500002197499991,0.6233335902499991,0.5466668797499994,0.6233335999999988,0.8166668499999996,0.8800001199999999,0.5366668599999993,0.616666920249999,0.5300001799999994,0.6066669099999991,0.9866666800000001,1.0
mq_niah_6q_split_256_to_134,80,0.96333337,0.5866669,0.5866668899999999,0.9900000099999999,0.5866669,0.58333355,0.9966666700000001,0.403333,0.41,0.96,0.0,15.161208,0.94333339,0.9800000200000002,0.5466668899999992,0.6233336102499988,0.5500002097499994,0.6233335999999988,0.97666669,1.0,0.5466668897499991,0.6233335999999988,0.5400001897499993,0.620000260499999,0.9900000099999999,1.0
mq_niah_6q_split_256_to_134,96,0.96333337,0.5866669,0.59000023,0.97666669,0.5966669,0.57333356,0.9966666700000001,0.386666,0.406666,0.96,0.0,15.204456,0.9400000600000001,0.9800000200000002,0.5465835177499992,0.6233335999999988,0.550000199499999,0.6300002499999988,0.95666671,0.9900000100000002,0.5600001999999993,0.6300002502499991,0.5300001899999995,0.6166668904999988,0.9900000099999999,1.0
mq_niah_6q_split_256_to_134,128,0.96333337,0.5866669,0.5800002200000001,0.9666667,0.60000023,0.57333355,0.9966666700000001,0.386666,0.416666,0.93,0.0,15.414305,0.9433333899999999,0.9833333499999999,0.5466668597499993,0.6233335799999989,0.5366668499999993,0.6166669104999991,0.9466667200000001,0.9833333500000002,0.5600002197499991,0.6366669399999987,0.5300001799999995,0.6133335702499989,0.9900000099999999,1.0
mq_niah_6q_split_356_to_124,8,0.9966666700000001,0.26999974,0.26666640999999996,0.28333306,0.26999974,0.27666640000000003,0.34333302,0.016667,0.076667,0.06,0.01,20.327678,0.9900000099999999,1.0,0.2433330899999998,0.29674974224999967,0.2399997599999998,0.2933330599999998,0.25666641999999984,0.3066663802499998,0.2433330899999998,0.29666638024999975,0.24666642999999983,0.2999997299999998,0.3333329999999999,0.35666637999999984
mq_niah_6q_split_356_to_124,16,0.9966666700000001,0.26999974,0.27333306999999996,0.33333311000000004,0.26999974,0.26666640999999996,0.44333322000000003,0.06,0.17,0.17,0.0,15.401164,0.9900000099999999,1.0,0.23999976974999981,0.2933330599999998,0.24333309999999983,0.29999970999999975,0.3033330997499998,0.36341650174999984,0.23999976999999983,0.29666638024999975,0.23666642999999982,0.2933330599999998,0.4133331600000001,0.47333328000000013
mq_niah_6q_split_356_to_124,24,0.9966666700000001,0.26999974,0.26666640999999996,0.35666649,0.27333308,0.27333306999999996,0.67000033,0.09,0.403334,0.27,0.03,15.202547,0.9900000099999999,1.0,0.24333309999999983,0.2933330599999998,0.23666643974999985,0.2933330599999998,0.31999979999999983,0.38999986025000005,0.2433330899999998,0.2999997399999998,0.24666641999999983,0.2999997199999998,0.6666669999999988,0.676666989999999
mq_niah_6q_split_356_to_124,32,0.9966666700000001,0.26999974,0.26999975,0.42666656000000003,0.26999974,0.26333308,0.67666699,0.156667,0.406667,0.4,0.01,15.060722,0.9900000099999999,1.0,0.23999976974999981,0.2966663699999998,0.23999976974999981,0.2967497717499997,0.3866664995000001,0.4699999002500002,0.23999976999999983,0.2966663899999998,0.23666642999999982,0.28666640999999976,0.6666669999999988,0.690000309999999
mq_niah_6q_split_356_to_124,48,0.9966666700000001,0.26999974,0.27666641,0.50999998,0.27333308,0.2666664,1.0,0.233334,0.723334,0.53,0.02,15.129941,0.98991667675,1.0,0.2433330899999998,0.2934164414999997,0.24666642999999983,0.30333308024999983,0.45999996975000035,0.5500833719999998,0.2433330899999998,0.30333304024999974,0.23666642999999982,0.29333303999999977,1.0,1.0
mq_niah_6q_split_356_to_124,64,0.9966666700000001,0.26999974,0.27333308,0.65333345,0.26666640999999996,0.25666641,1.0,0.38,0.726667,0.83,0.0,17.606407,0.9900000099999999,1.0,0.23999977974999986,0.29666640049999976,0.24658308749999983,0.2999997399999998,0.6100001292499991,0.69333346025,0.2399997599999998,0.29333303999999977,0.22999976999999983,0.28333304999999975,1.0,1.0
mq_niah_6q_split_356_to_124,80,0.9966666700000001,0.26999974,0.27666641,0.82000015,0.27333306999999996,0.26333307,1.0,0.543334,0.723334,0.98,0.0,16.891128,0.9900000099999999,1.0,0.2433330899999998,0.29666638024999975,0.2499997597499998,0.30333306024999973,0.7866667999999999,0.8566667902499999,0.24666642999999983,0.29999971999999975,0.23666642999999982,0.2899997099999998,1.0,1.0
mq_niah_6q_split_356_to_124,96,0.9966666700000001,0.26999974,0.28999974,0.99333334,0.28333308,0.2666664,1.0,0.703334,0.71,1.0,0.0,15.26921,0.9900000099999999,1.0,0.2433330899999998,0.2966663999999998,0.2599997699999998,0.3166663899999998,0.9833333500000001,1.0,0.2566664299999998,0.3099997499999998,0.2399997599999998,0.2899997099999998,1.0,1.0
mq_niah_6q_split_356_to_124,128,0.9966666700000001,0.26999974,0.29333307,0.9966666700000001,0.27333308,0.25666641,1.0,0.703334,0.706667,1.0,0.0,15.4098,0.9900000099999999,1.0,0.23999976974999981,0.2966663799999998,0.26999972999999977,0.3199997499999998,0.9900000099999999,1.0,0.24666641999999983,0.29999974024999976,0.22999976999999983,0.28333304999999975,1.0,1.0
mq_niah_6q_split_456_to_123,8,1.0,0.20999979,0.20999979,0.22999976999999996,0.20666646,0.22666643999999997,0.32999967999999996,0.02,0.12,0.08,0.02,17.293478,1.0,1.0,0.1799998199999999,0.2399997599999998,0.1766664899999999,0.2399997599999998,0.19666646999999987,0.2599997399999998,0.1733331599999999,0.23666642999999982,0.19666646999999987,0.2533330799999998,0.31999967999999973,0.3399996899999999
mq_niah_6q_split_456_to_123,16,1.0,0.20999979,0.20333313,0.27333319,0.20666646,0.20666646,0.49333333,0.07,0.29,0.22,0.04,15.324355,1.0,1.0,0.1766664899999999,0.2433330899999998,0.1733331599999999,0.23333309999999982,0.23333316974999987,0.3166665099999999,0.1766664899999999,0.23666642999999982,0.1733331599999999,0.2399997599999998,0.45999993000000017,0.5266667199999999
mq_niah_6q_split_456_to_123,24,1.0,0.20999979,0.20999979,0.32666660000000003,0.20999980000000001,0.22333310999999997,0.67000033,0.116667,0.460001,0.31,0.03,15.002283,1.0,1.0,0.1766664899999999,0.2399997599999998,0.1766664899999999,0.2433330899999998,0.2799998999999999,0.37666664,0.1733331697499999,0.2433330999999998,0.18999980999999988,0.2533330799999998,0.6666669999999988,0.676666989999999
mq_niah_6q_split_456_to_123,32,1.0,0.20999979,0.20666646,0.34333328,0.21333312,0.20333313,0.67666699,0.136667,0.470001,0.35,0.04,17.79784,1.0,1.0,0.1766664899999999,0.2399997599999998,0.1733331599999999,0.23666642999999982,0.2966665997499999,0.3966666300000001,0.1833331499999999,0.2433330899999998,0.1699998299999999,0.23666642999999982,0.6666669999999988,0.6900003099999991
mq_niah_6q_split_456_to_123,48,1.0,0.20999979,0.20666646,0.47333337,0.21666646,0.21333312,0.9833333500000001,0.266667,0.776667,0.59,0.02,15.119343,1.0,1.0,0.1766664899999999,0.2399997599999998,0.1766664899999999,0.23666642999999982,0.4233333297500002,0.5234167424999998,0.18666647999999988,0.24999975024999985,0.1799998199999999,0.2433330899999998,0.9666667000000001,0.9966666700000001
mq_niah_6q_split_456_to_123,64,1.0,0.20999979,0.20666646,0.61666676,0.21333312,0.21666644999999998,0.9833333500000001,0.41,0.776667,0.84,0.0,15.28417,1.0,1.0,0.1766664899999999,0.24008309324999974,0.1733331599999999,0.2399997599999998,0.5733333897499999,0.6600835009999992,0.1833331499999999,0.2433330899999998,0.18666647999999988,0.24666641999999983,0.9699166967499998,0.9966666700000001
mq_niah_6q_split_456_to_123,80,1.0,0.20999979,0.20999979,0.80000019,0.20999979,0.21666644999999998,0.9833333500000001,0.59,0.773334,1.0,0.0,16.132098,1.0,1.0,0.1799998199999999,0.2433330899999998,0.1799998199999999,0.24008309324999974,0.7700002097499995,0.8366668199999998,0.1799998199999999,0.2399997599999998,0.1833331499999999,0.24666641999999983,0.9666667000000001,0.9966666700000001
mq_niah_6q_split_456_to_123,96,1.0,0.20999979,0.21333312,0.9900000099999999,0.22333313999999999,0.21333312,0.9833333500000001,0.776667,0.77,1.0,0.0,15.158172,1.0,1.0,0.1766664899999999,0.2433330899999998,0.1799998199999999,0.2433330899999998,0.97666669,1.0,0.18999981974999988,0.25666643999999983,0.1799998199999999,0.2433330899999998,0.9700000299999999,0.9966666699999998
mq_niah_6q_split_456_to_123,128,1.0,0.20999979,0.20999979,1.0,0.21666646,0.20666646,0.9833333500000001,0.79,0.773334,1.0,0.0,19.437724,1.0,1.0,0.1766664899999999,0.2399997599999998,0.1799998199999999,0.2433330899999998,1.0,1.0,0.1833331499999999,0.24999976999999984,0.1766664899999999,0.23666642999999982,0.9700000299999999,0.9966666700000001
